编号	中文姓氏	中文名字	英文姓氏	英文名字	性别	利益集团	职责	意识形态
491	雾雨	魔理沙	Kirisame	Marisa	女	小市民	政治家	市场自由主义者
492	爱丽丝	玛格特罗依德	Alice	Margatroid	女	知识分子	政治家	改良主义者
493	帕秋莉	诺蕾姬	Patchouli	Knowledge	女	知识分子	政治家	和平主义者
494	蕾米莉亚	斯卡蕾特	Remilia	Scarlet	女	地主	政治家	独裁主义者
495	芙兰朵露	斯卡蕾特	Flandre	Scarlet	女	军队	陆军将领	激进主义者
496	十六夜	咲夜	Izayoi	Sakuya	女	小市民	政治家	保皇主义者
497	红	美铃	Hong	Meiling	女	军队	陆军将领	警备主义者
498	东风谷	早苗	Kochiya	Sanae	女	教士	政治家	人道主义者
499	八坂	神奈子	Yasaka	Kanako	女	地主	政治家	现代化主义者
500	泄矢	诹访子	Moriya	Suwako	女	农民	政治家	传统主义者
501	古明地	觉	Komeiji	Satori	女	知识分子	政治家	温和主义者
502	古明地	恋	Komeiji	Koishi	女	小市民	政治家	温和主义者
503	比那名居	天子	Hinanawi	Tenshi	女	地主	政治家	独裁主义者
504	永江	衣玖	Nagae	Iku	女	教士	政治家	温和主义者
505	因幡	帝	Inaba	Tewi	女	农民	政治家	主权主义者
506	姬海棠	果	Himekaidou	Hatate	女	知识分子	政治家	民主主义者
507	四季映姬	亚玛萨那度	Shiki_Eiki	Yamaxanadu	女	教士	政治家	神权政治主义者
508	小野塚	小町	Onozuka	Komachi	女	工会	政治家	激进主义者
509	风见	幽香	Kazami	Yuuka	女	地主	政治家	独裁主义者
510	西行寺	幽幽子	Saigyouji	Yuyuko	女	地主	政治家	独裁主义者
511	魂魄	妖梦	Konpaku	Youmu	女	军队	陆军将领	警备主义者
512	天海	春香	Amami	Haruka	女	小市民	利益集团领袖	温和主义者
513	如月	千早	Kisaragi	Chihaya	女	知识分子	利益集团领袖	功利主义者
514	萩原	雪步	Hagiwara	Yukiho	女	农民	政治家	温和主义者
515	高槻	弥生	Takatsuki	Yayoi	女	工会	利益集团领袖	人道主义者
516	秋月	律子	Akizuki	Ritsuko	女	实业家	政治家	现代化主义者
517	三浦	梓	Miura	Azusa	女	教士	政治家	温和主义者
518	水濑	伊织	Minase	Iori	女	地主	政治家	开明保皇主义者
519	菊地	真	Kikuchi	Makoto	女	军队	利益集团领袖	警备主义者
520	双海	亚美	Futami	Ami	女	小市民	政治家	激进主义者
521	双海	真美	Futami	Mami	女	小市民	政治家	功利主义者
522	星井	美希	Hoshii	Miki	女	地主	政治家	温和主义者
523	我那霸	响	Ganaha	Hibiki	女	农民	利益集团领袖	主权主义者
524	四条	贵音	Shijou	Takane	女	地主	利益集团领袖	保皇主义者
525	音无	小鸟	Otonashi	Kotori	女	知识分子	政治家	改良主义者
526	花海	咲季	Hanami	Saki	女	军队	陆军将领	功利主义者
527	月村	手毬	Tsukimura	Temari	女	知识分子	政治家	功利主义者
528	藤田	琴音	Fujita	Kotone	女	小市民	政治家	市场自由主义者
529	有村	麻央	Arimura	Mao	女	教士	政治家	人道主义者
530	葛城	莉莉娅	Katsuragi	Lilia	女	小市民	政治家	温和主义者
531	仓本	千奈	Kuramoto	China	女	实业家	政治家	开明保皇主义者
532	紫云	清夏	Shion	Sumika	女	小市民	政治家	温和主义者
533	篠泽	广	Shinosawa	Hiro	女	知识分子	政治家	实证主义者
534	姬崎	莉波	Himesaki	Rinami	女	教士	政治家	温和主义者
535	花海	佑芽	Hanami	Ume	女	军队	陆军将领	功利主义者
536	十王	星南	Juou	Sena	女	地主	政治家	独裁主义者
537	秦谷	美铃	Hataya	Misuzu	女	实业家	政治家	现代化主义者
538	雨夜	燕	Amaya	Tsubame	女	军队	海军将领	警备主义者
539	安兹·乌尔	恭	Ainz_Ooal	Gown	男	地主	君主	独裁主义者
540	雅儿贝德	安兹	Albedo	Ainz	女	地主	继承人	保皇主义者
541	夏提雅	布拉德弗伦	Shalltear	Bloodfallen	女	军队	陆军将领	沙文主义者
542	科塞特斯	安兹	Cocytus	Ainz	男	军队	陆军将领	警备主义者
543	迪米乌哥斯	安兹	Demiurge	Ainz	男	实业家	利益集团领袖	保皇主义者
544	潘多拉	亚克特	Pandora's	Actor	男	知识分子	政治家	保皇主义者
545	塞巴斯	蒂安	Sebas	Tian	男	教士	利益集团领袖	人道主义者
546	尤莉	阿尔法	Yuri	Alpha	女	工会	政治家	保皇主义者
547	露普丝蕾琪娜	贝塔	Lupusregina	Beta	女	小市民	政治家	警备主义者
548	娜贝拉尔	伽玛	Narberal	Gamma	女	军队	陆军将领	主权主义者
549	希丝	德尔塔	CZ2128	Delta	女	军队	陆军将领	警备主义者
550	索留香	艾普西隆	Solution	Epsilon	女	地主	政治家	功利主义者
551	安特玛	瓦西里萨·泽塔	Entoma	Vasilissa_Zeta	女	军队	陆军将领	警备主义者
552	亚乌菈	贝拉·菲欧拉	Aura	Bella_Fiora	女	地主	政治家	警备主义者
553	马雷	贝罗·菲欧雷	Mare	Bello_Fiore	男	农民	政治家	保皇主义者
554	维克提姆	安兹	Victim	Ainz	男	教士	政治家	神权政治主义者
555	妮古蕾德	安兹	Nigredo	Ainz	女	知识分子	政治家	保皇主义者
556	佩斯特妮	安兹	Pestonya	Ainz	女	教士	政治家	人道主义者
557	欧蕾儿	欧米伽	Aureole	Omega	女	教士	政治家	保皇主义者
