编号	中文姓氏	中文名字	英文姓氏	英文名字	性别	利益集团	职责	意识形态
512	蕾蒂	霍瓦特洛克	Letty	Whiterock	女	农民	利益集团领袖	传统主义者
513	橙	Chen	Chen	Chen	女	军队	陆军将领	警备主义者
514	露娜萨	普莉兹姆利巴	Lunasa	Prismriver	女	知识分子	利益集团领袖	温和主义者
515	梅露兰	普莉兹姆利巴	Merlin	Prismriver	女	小市民	企业家	功利主义者
516	莉莉卡	普莉兹姆利巴	Lyrica	Prismriver	女	小市民	企业家	市场自由主义者
517	莉格露	奈特巴格	Wriggle	Nightbug	女	农民	利益集团领袖	土地改革者
518	米斯蒂娅	萝蕾拉	Mystia	Lorelei	女	小市民	企业家	功利主义者
519	稗田	阿求	Hieda	no_Akyuu	女	知识分子	利益集团领袖	实证主义者
520	犬走	椛	Inubashiri	Momiji	女	军队	陆军将领	警备主义者
521	键山	雏	Kagiyama	Hina	女	教士	利益集团领袖	温和主义者
522	水桥	帕露西	Mizuhashi	Parsee	女	工会	利益集团领袖	激进主义者
523	星熊	勇仪	Hoshiguma	Yuugi	女	军队	陆军将领	沙文主义者
524	黑谷	山女	Kurodani	Yamame	女	工会	利益集团领袖	改良主义者
525	火焰猫	燐	Kaenbyou	Rin	女	工会	利益集团领袖	功利主义者
526	灵乌路	空	Reiuji	Utsuho	女	军队	陆军将领	现代化主义者
527	多多良	小伞	Tatara	Kogasa	女	小市民	企业家	人道主义者
528	村纱	水蜜	Murasa	Minamitsu	女	军队	海军将领	主权主义者
529	圣	白莲	Hijiri	Byakuren	女	教士	利益集团领袖	人道主义者
530	寅丸	星	Toramaru	Shou	女	教士	利益集团领袖	开明保皇主义者
