"kind","file","state","want","bad","seen"
"buildings","common/history/buildings/00_west_europe.txt","STATE_ALSACE_LORRAINE","ALS","FRA","ALS,FRA"
"buildings","common/history/buildings/00_west_europe.txt","STATE_BOHEMIA","MHGK","IDMS","MHGK,IDMS"
"buildings","common/history/buildings/00_west_europe.txt","STATE_GOTLAND","MHSB","OOAR","OOAR"
"buildings","common/history/buildings/00_west_europe.txt","STATE_HOLLAND","TBUN","NET","TBUN,NET"
"buildings","common/history/buildings/00_west_europe.txt","STATE_RHINELAND","RHE","BAV","RHE,BAV"
"buildings","common/history/buildings/00_west_europe.txt","STATE_RUHR","RHE","PRU","RHE,PRU"
"buildings","common/history/buildings/00_west_europe.txt","STATE_SAXONY","PRU","SAX,MEI,WEI,COB,SCW","SAX,MEI,WEI,COB,SCW"
"buildings","common/history/buildings/00_west_europe.txt","STATE_SOUTH_TYROL","GBDP","IDMS","IDMS"
"buildings","common/history/buildings/01_south_europe.txt","STATE_CROATIA","AQO","MUS,IDMS","AQO,MUS,IDMS"
"buildings","common/history/buildings/01_south_europe.txt","STATE_DALMATIA","AQO","IDMS","AQO,IDMS"
"buildings","common/history/buildings/01_south_europe.txt","STATE_EASTERN_THRACE","BYZ","TUR","BYZ,TUR"
"buildings","common/history/buildings/01_south_europe.txt","STATE_ISTRIA","GBDP","IDMS","GBDP,IDMS"
"buildings","common/history/buildings/01_south_europe.txt","STATE_LOMBARDY","GBDP","IDMS","GBDP,IDMS"
"buildings","common/history/buildings/01_south_europe.txt","STATE_MACEDONIA","BYZ","TUR","TUR"
"buildings","common/history/buildings/01_south_europe.txt","STATE_PIEDMONT","STLI","SAR","STLI,SAR"
"buildings","common/history/buildings/01_south_europe.txt","STATE_SKOPIA","BYZ","TUR","TUR"
"buildings","common/history/buildings/01_south_europe.txt","STATE_SLAVONIA","AQO","MUS","MUS,AQO"
"buildings","common/history/buildings/01_south_europe.txt","STATE_THESSALIA","BYZ","TUR","TUR"
"buildings","common/history/buildings/01_south_europe.txt","STATE_VENETIA","GBDP","IDMS,AUS","GBDP,IDMS,AUS"
"buildings","common/history/buildings/01_south_europe.txt","STATE_WESTERN_THRACE","BYZ","TUR","TUR"
"buildings","common/history/buildings/02_east_europe.txt","STATE_BANAT","MUS","IDMS","IDMS,MUS"
"buildings","common/history/buildings/02_east_europe.txt","STATE_CENTRAL_HUNGARY","MUS","IDMS","MUS,IDMS"
"buildings","common/history/buildings/02_east_europe.txt","STATE_DELVIDEK","MUS","IDMS","IDMS,MUS"
"buildings","common/history/buildings/02_east_europe.txt","STATE_EAST_GALICIA","POL","IDMS","POL,IDMS"
"buildings","common/history/buildings/02_east_europe.txt","STATE_NORTHERN_TRANSYLVANIA","ROM","IDMS","ROM,IDMS"
"buildings","common/history/buildings/02_east_europe.txt","STATE_SLOVAKIA","NJS","MUS,IDMS","NJS,MUS,IDMS"
"buildings","common/history/buildings/02_east_europe.txt","STATE_SOUTHERN_TRANSYLVANIA","ROM","MUS,IDMS","MUS,IDMS,ROM"
"buildings","common/history/buildings/02_east_europe.txt","STATE_TRANSDANUBIA","MUS","IDMS","MUS,IDMS"
"buildings","common/history/buildings/02_east_europe.txt","STATE_UPPER_SILESIA","PRU","IDMS","PRU,IDMS"
"buildings","common/history/buildings/02_east_europe.txt","STATE_WEST_GALICIA","POL","IDMS","POL,IDMS"
"buildings","common/history/buildings/03_north_africa.txt","STATE_ALGIERS","TUN","FRA","TUN,FRA"
"buildings","common/history/buildings/03_north_africa.txt","STATE_ORAN","TUN","FRA","TUN,FRA"
"buildings","common/history/buildings/05_north_america.txt","STATE_ONTARIO","BCXY","GBR,SGXY","BCXY,GBR,SGXY"
"buildings","common/history/buildings/06_central_america.txt","STATE_CENTRAL_CUBA","CUB","SKD","CUB,SKD"
"buildings","common/history/buildings/06_central_america.txt","STATE_EASTERN_CUBA","CUB","SKD","CUB,SKD"
"buildings","common/history/buildings/06_central_america.txt","STATE_PUERTO_RICO","PCO","SKD","PCO,SKD"
"buildings","common/history/buildings/06_central_america.txt","STATE_WESTERN_CUBA","CUB","SKD","CUB,SKD"
"buildings","common/history/buildings/08_middle_east.txt","STATE_BAGHDAD","KIVO","TUR","KIVO,TUR"
"buildings","common/history/buildings/08_middle_east.txt","STATE_DIYARBAKIR","TUR","KIVO","KIVO"
"buildings","common/history/buildings/08_middle_east.txt","STATE_ERZURUM","TUR","KIVO","KIVO"
"buildings","common/history/buildings/08_middle_east.txt","STATE_HUDAVENDIGAR","BYZ","TUR","TUR,BYZ"
"buildings","common/history/buildings/08_middle_east.txt","STATE_TRABZON","TUR","TRA","TRA,TUR"
"buildings","common/history/buildings/09_central_asia.txt","STATE_AZERBAIJAN","GEO","RUS","RUS"
"buildings","common/history/buildings/09_central_asia.txt","STATE_HIMALAYAS","NEP","CTCH","CTCH"
"buildings","common/history/buildings/09_central_asia.txt","STATE_PASHTUNISTAN","DAL","KAB","KAB,DAL"
"buildings","common/history/buildings/09_central_asia.txt","STATE_TARTARIA","GOD","RUS","RUS"
"buildings","common/history/buildings/10_india.txt","STATE_BIHAR","NEP","GBR","NEP,GBR"
"buildings","common/history/buildings/10_india.txt","STATE_BOMBAY","ELZ","GNC","GNC,ELZ"
"buildings","common/history/buildings/10_india.txt","STATE_CENTRAL_PROVINCES","XMQS","NAG,BAS,BIC,GBR","NAG,BAS,BIC,GBR"
"buildings","common/history/buildings/10_india.txt","STATE_CIRCARS","NEWG","FRA","NEWG,FRA"
"buildings","common/history/buildings/10_india.txt","STATE_EAST_BENGAL","BIC","GBR","BIC,GBR"
"buildings","common/history/buildings/10_india.txt","STATE_GUJARAT","ELZ","BIC,BER,KUT,BHV,JUN,NAW,GNC","BIC,BER,KUT,BHV,JUN,NAW,GNC"
"buildings","common/history/buildings/10_india.txt","STATE_KURNOOL","OVL","BIC","BIC"
"buildings","common/history/buildings/10_india.txt","STATE_MADRAS","OVL","FRA,STRW,BIC,GBR","FRA,STRW,BIC,GBR"
"buildings","common/history/buildings/10_india.txt","STATE_MALWA","XMQS","IND,GWA,BHO","IND,GWA,BHO"
"buildings","common/history/buildings/10_india.txt","STATE_MYSORE","OVL","MYS,BIC","MYS,BIC"
