"full_name","first_name","last_name","occurrences","sources"
"Ai Hayasaka","Ai","Hayasaka","3","common/history/characters/demo_characters.null:684; common/history/characters/demo_characters.null:4045; common/history/characters/demo_characters.null:7406"
"Ai Miyashita","Ai","Miyashita","5","common/history/characters/demo_characters.null:1729; common/history/characters/demo_characters.null:5090; common/history/characters/demo_characters.null:8451; common/history/characters/demo_characters.null:10335; common/history/characters/demo_characters.null:12164"
"Ai Mizuno","Ai","Mizuno","5","common/history/characters/demo_characters.null:2075; common/history/characters/demo_characters.null:5436; common/history/characters/demo_characters.null:8797; common/history/characters/demo_characters.null:10681; common/history/characters/demo_characters.null:12510"
"Aki Minoriko","Aki","Minoriko",,"common/history/characters/reserve.null:1247"
"Akihiko Kayaba","Akihiko","Kayaba","5","common/history/characters/demo_characters.null:1897; common/history/characters/demo_characters.null:5258; common/history/characters/demo_characters.null:8619; common/history/characters/demo_characters.null:10503; common/history/characters/demo_characters.null:12332"
"Ako Udagawa","Ako","Udagawa","5","common/history/characters/demo_characters.null:2229; common/history/characters/demo_characters.null:5590; common/history/characters/demo_characters.null:8951; common/history/characters/demo_characters.null:10835; common/history/characters/demo_characters.null:12664"
"Aleph Aleph","Aleph","Aleph","3","common/history/characters/demo_characters.null:57; common/history/characters/demo_characters.null:3418; common/history/characters/demo_characters.null:6779"
"Amanda O_Neill","Amanda","O_Neill","5","common/history/characters/demo_characters.null:2953; common/history/characters/demo_characters.null:6314; common/history/characters/demo_characters.null:9698; common/history/characters/demo_characters.null:11559; common/history/characters/demo_characters.null:13411"
"Amiya Rhodes","Amiya","Rhodes","3","common/history/characters/demo_characters.null:566; common/history/characters/demo_characters.null:3927; common/history/characters/demo_characters.null:7288"
"Anan Natsume","Anan","Natsume","5","common/history/characters/demo_characters.null:3155; common/history/characters/demo_characters.null:6516; common/history/characters/demo_characters.null:9916; common/history/characters/demo_characters.null:11761; common/history/characters/demo_characters.null:13629"
"Anna Yanami","Anna","Yanami","3","common/history/characters/demo_characters.null:1323; common/history/characters/demo_characters.null:4684; common/history/characters/demo_characters.null:8045"
"Anzu Kadotani","Anzu","Kadotani","3","common/history/characters/demo_characters.null:791; common/history/characters/demo_characters.null:4152; common/history/characters/demo_characters.null:7513"
"Aoba Suzukaze","Aoba","Suzukaze","5","common/history/characters/demo_characters.null:2774; common/history/characters/demo_characters.null:6135; common/history/characters/demo_characters.null:9505; common/history/characters/demo_characters.null:11380; common/history/characters/demo_characters.null:13218"
"APPLe APPLe","APPLe","APPLe","3","common/history/characters/demo_characters.null:222; common/history/characters/demo_characters.null:3583; common/history/characters/demo_characters.null:6944"
"Aqua MizuKami","Aqua","MizuKami","5","common/history/characters/demo_characters.null:3016; common/history/characters/demo_characters.null:6377; common/history/characters/demo_characters.null:9766; common/history/characters/demo_characters.null:11622; common/history/characters/demo_characters.null:13479"
"Archer Emiya","Archer","Emiya",,"common/history/characters/reserve.null:163"
"Archetto Rhodes","Archetto","Rhodes","3","common/history/characters/demo_characters.null:525; common/history/characters/demo_characters.null:3886; common/history/characters/demo_characters.null:7247"
"Arisa Shido","Arisa","Shido","5","common/history/characters/demo_characters.null:3233; common/history/characters/demo_characters.null:6594; common/history/characters/demo_characters.null:10000; common/history/characters/demo_characters.null:11839; common/history/characters/demo_characters.null:13713"
"Armand_Jean_duPlessis_de Richelieu","Armand_Jean_duPlessis_de","Richelieu",,"common/history/characters/reserve.null:394"
"Aru Rikuhachima","Aru","Rikuhachima","3","common/history/characters/demo_characters.null:1141; common/history/characters/demo_characters.null:4502; common/history/characters/demo_characters.null:7863"
"Astesia Rhodes","Astesia","Rhodes","3","common/history/characters/demo_characters.null:511; common/history/characters/demo_characters.null:3872; common/history/characters/demo_characters.null:7233"
"Asuko Kagari","Asuko","Kagari","5","common/history/characters/demo_characters.null:2902; common/history/characters/demo_characters.null:6263; common/history/characters/demo_characters.null:9643; common/history/characters/demo_characters.null:11508; common/history/characters/demo_characters.null:13356"
"Asuna Yuuki","Asuna","Yuuki","5","common/history/characters/demo_characters.null:1923; common/history/characters/demo_characters.null:5284; common/history/characters/demo_characters.null:8645; common/history/characters/demo_characters.null:10529; common/history/characters/demo_characters.null:12358"
"Atori Ikaruga","Atori","Ikaruga","5","common/history/characters/demo_characters.null:2594; common/history/characters/demo_characters.null:5955; common/history/characters/demo_characters.null:9316; common/history/characters/demo_characters.null:11200; common/history/characters/demo_characters.null:13029"
"Aya Maruyama","Aya","Maruyama","5","common/history/characters/demo_characters.null:2145; common/history/characters/demo_characters.null:5506; common/history/characters/demo_characters.null:8867; common/history/characters/demo_characters.null:10751; common/history/characters/demo_characters.null:12580"
"Ayane Okusora","Ayane","Okusora","3","common/history/characters/demo_characters.null:1099; common/history/characters/demo_characters.null:4460; common/history/characters/demo_characters.null:7821"
"Ayase Mitsukasa","Ayase","Mitsukasa","5","common/history/characters/demo_characters.null:3310; common/history/characters/demo_characters.null:6671; common/history/characters/demo_characters.null:10083; common/history/characters/demo_characters.null:11916; common/history/characters/demo_characters.null:13796"
"ayumu uehara","ayumu","uehara","5","common/history/characters/demo_characters.null:1673; common/history/characters/demo_characters.null:5034; common/history/characters/demo_characters.null:8395; common/history/characters/demo_characters.null:10279; common/history/characters/demo_characters.null:12108"
"Barcarola Barcarola","Barcarola","Barcarola","3","common/history/characters/demo_characters.null:196; common/history/characters/demo_characters.null:3557; common/history/characters/demo_characters.null:6918"
"Bedivere Knight","Bedivere","Knight",,"common/history/characters/reserve.null:61"
"Blaze Rhodes","Blaze","Rhodes","3","common/history/characters/demo_characters.null:497; common/history/characters/demo_characters.null:3858; common/history/characters/demo_characters.null:7219"
"Bruno Bucciarati","Bruno","Bucciarati",,"common/history/characters/reserve.null:1305"
"C C","C","C","5","common/history/characters/demo_characters.null:3066; common/history/characters/demo_characters.null:6427; common/history/characters/demo_characters.null:9820; common/history/characters/demo_characters.null:11672; common/history/characters/demo_characters.null:13533"
"Carmen Iberia","Carmen","Iberia","3","common/history/characters/demo_characters.null:377; common/history/characters/demo_characters.null:3738; common/history/characters/demo_characters.null:7099"
"Charlie Charlie","Charlie","Charlie","3","common/history/characters/demo_characters.null:325; common/history/characters/demo_characters.null:3686; common/history/characters/demo_characters.null:7047"
"Charlotte E_Yeager","Charlotte","E_Yeager","5","common/history/characters/demo_characters.null:2476; common/history/characters/demo_characters.null:5837; common/history/characters/demo_characters.null:9198; common/history/characters/demo_characters.null:11082; common/history/characters/demo_characters.null:12911"
"Charon Charon","Charon","Charon","3","common/history/characters/demo_characters.null:351; common/history/characters/demo_characters.null:3712; common/history/characters/demo_characters.null:7073"
"Chika Fujiwara","Chika","Fujiwara","3","common/history/characters/demo_characters.null:621; common/history/characters/demo_characters.null:3982; common/history/characters/demo_characters.null:7343"
"Chika Komari","Chika","Komari","3","common/history/characters/demo_characters.null:1351; common/history/characters/demo_characters.null:4712; common/history/characters/demo_characters.null:8073"
"Chika Takami","Chika","Takami","5","common/history/characters/demo_characters.null:1533; common/history/characters/demo_characters.null:4894; common/history/characters/demo_characters.null:8255; common/history/characters/demo_characters.null:10139; common/history/characters/demo_characters.null:11968"
"Chisato Shirasagi","Chisato","Shirasagi","5","common/history/characters/demo_characters.null:2201; common/history/characters/demo_characters.null:5562; common/history/characters/demo_characters.null:8923; common/history/characters/demo_characters.null:10807; common/history/characters/demo_characters.null:12636"
"Chiyu Tamade","Chiyu","Tamade","5","common/history/characters/demo_characters.null:2340; common/history/characters/demo_characters.null:5701; common/history/characters/demo_characters.null:9062; common/history/characters/demo_characters.null:10946; common/history/characters/demo_characters.null:12775"
"Christina_Wako Yamato","Christina_Wako","Yamato","5","common/history/characters/demo_characters.null:2889; common/history/characters/demo_characters.null:6250; common/history/characters/demo_characters.null:9629; common/history/characters/demo_characters.null:11495; common/history/characters/demo_characters.null:13342"
