生产方式key,来源文件,商品投入类型与数量,商品投入总价格,商品产出类型与数量,商品产出总价格,商品收益净值,收益率
pm_bureaucrat_barn,barn.txt,,0.00,,0.00,0.00,
pm_ent_press_distribution_export,publisher_press.txt,paper*6；services*18；transportation*15,1170.00,entertainment_publications*20,1300.00,130.00,0.1111
pm_ent_press_distribution_local,publisher_press.txt,paper*2；services*6；tools*2,320.00,,0.00,-320.00,-1.0000
pm_ent_press_distribution_national,publisher_press.txt,paper*4；services*12；transportation*10,780.00,entertainment_publications*10,650.00,-130.00,-0.1667
pm_ent_press_main_manga,publisher_press.txt,iron*8；paper*24；tools*10,1440.00,entertainment_publications*50,3250.00,1810.00,1.2569
pm_ent_press_main_multimedia,publisher_press.txt,electricity*20；engines*10；steel*10,1700.00,entertainment_publications*80,5200.00,3500.00,2.0588
pm_ent_press_main_novel,publisher_press.txt,paper*18；tools*6；wood*18,1140.00,entertainment_publications*30,1950.00,810.00,0.7105
pm_ent_press_main_null,publisher_press.txt,,0.00,,0.00,0.00,
pm_ent_press_main_serial,publisher_press.txt,paper*30；steel*10；tools*14,1960.00,entertainment_publications*60,3900.00,1940.00,0.9898
pm_game_business_buyout,game.txt,paper*5；services*10；tools*5,650.00,games*10,600.00,-50.00,-0.0769
pm_game_business_service,game.txt,electricity*10；services*15；tools*5,950.00,games*30,1800.00,850.00,0.8947
pm_game_business_subscription,game.txt,electricity*5；services*10；tools*5,650.00,games*20,1200.00,550.00,0.8462
pm_game_modern_arcade,game.txt,engines*5；steel*10；tools*5,1000.00,games*35,2100.00,1100.00,1.1000
pm_game_modern_pinball,game.txt,engines*5；iron*5；tools*5,700.00,games*20,1200.00,500.00,0.7143
pm_game_modern_video,game.txt,electricity*20；services*20；tools*10,1600.00,games*60,3600.00,2000.00,1.2500
pm_game_traditional_craft,game.txt,paper*15；steel*15；tools*15,1800.00,games*60,3600.00,1800.00,1.0000
pm_game_traditional_mechanical,game.txt,hardwood*10；iron*10；paper*10,1100.00,games*35,2100.00,1000.00,0.9091
pm_game_traditional_tabletop,game.txt,hardwood*10；paper*10,700.00,games*20,1200.00,500.00,0.7143
pm_goods_doll_doll,goods.txt,clothes*5；fabric*10,350.00,omocha*20,0.00,-350.00,-1.0000
pm_goods_doll_null,goods.txt,,0.00,,0.00,0.00,
pm_goods_doll_pillow,goods.txt,clothes*5；fabric*10,350.00,omocha*25,0.00,-350.00,-1.0000
pm_goods_garage_gundam,goods.txt,iron*10；tools*10,800.00,omocha*30,0.00,-800.00,-1.0000
pm_goods_garage_kit,goods.txt,glass*10；tools*10,800.00,omocha*35,0.00,-800.00,-1.0000
