生产方式key,生产方式中文名,来源文件,商品投入类型与数量,商品投入总价格,商品产出类型与数量,商品产出总价格,商品收益净值,收益率
pm_bureaucrat_barn,官方监粮官,barn.txt,,0.00,,0.00,0.00,
pm_ent_press_distribution_export,海外发行,publisher_press.txt,paper(paper)*6；services(services)*18；transportation(transportation)*15,1170.00,娱乐刊物(entertainment_publications)*20,1300.00,130.00,0.1111
pm_ent_press_distribution_local,本地发行,publisher_press.txt,paper(paper)*2；services(services)*6；tools(tools)*2,320.00,,0.00,-320.00,-1.0000
pm_ent_press_distribution_national,全国发行,publisher_press.txt,paper(paper)*4；services(services)*12；transportation(transportation)*10,780.00,娱乐刊物(entertainment_publications)*10,650.00,-130.00,-0.1667
pm_ent_press_main_manga,漫画刊,publisher_press.txt,iron(iron)*8；paper(paper)*24；tools(tools)*10,1440.00,娱乐刊物(entertainment_publications)*50,3250.00,1810.00,1.2569
pm_ent_press_main_multimedia,多媒体刊,publisher_press.txt,electricity(electricity)*20；engines(engines)*10；steel(steel)*10,1700.00,娱乐刊物(entertainment_publications)*80,5200.00,3500.00,2.0588
pm_ent_press_main_novel,轻小说刊,publisher_press.txt,paper(paper)*18；tools(tools)*6；wood(wood)*18,1140.00,娱乐刊物(entertainment_publications)*30,1950.00,810.00,0.7105
pm_ent_press_main_null,无,publisher_press.txt,,0.00,,0.00,0.00,
pm_ent_press_main_serial,连载刊,publisher_press.txt,paper(paper)*30；steel(steel)*10；tools(tools)*14,1960.00,娱乐刊物(entertainment_publications)*60,3900.00,1940.00,0.9898
pm_game_business_buyout,买断制,game.txt,paper(paper)*5；services(services)*10；tools(tools)*5,650.00,游戏(games)*10,600.00,-50.00,-0.0769
pm_game_business_service,持续运营制,game.txt,electricity(electricity)*10；services(services)*15；tools(tools)*5,950.00,游戏(games)*30,1800.00,850.00,0.8947
pm_game_business_subscription,订阅制,game.txt,electricity(electricity)*5；services(services)*10；tools(tools)*5,650.00,游戏(games)*20,1200.00,550.00,0.8462
pm_game_modern_arcade,街机游戏,game.txt,engines(engines)*5；steel(steel)*10；tools(tools)*5,1000.00,游戏(games)*35,2100.00,1100.00,1.1000
pm_game_modern_pinball,弹簧机游戏,game.txt,engines(engines)*5；iron(iron)*5；tools(tools)*5,700.00,游戏(games)*20,1200.00,500.00,0.7143
pm_game_modern_video,电子游戏,game.txt,electricity(electricity)*20；services(services)*20；tools(tools)*10,1600.00,游戏(games)*60,3600.00,2000.00,1.2500
pm_game_traditional_craft,精制传统游戏,game.txt,paper(paper)*15；steel(steel)*15；tools(tools)*15,1800.00,游戏(games)*60,3600.00,1800.00,1.0000
