source_name	normalized_name	chosen_trait	candidate_traits	candidate_cn_names
贞德，查理曼，玛丽，玛尔达，迪昂，拿破仑，阿斯托尔福，吉尔德雷，布拉达曼特，哈维，桑松，米娅，科黛，大仲马，黎塞留，路德维希，锦木千束，井之上泷奈，香风智乃，樱之宫莓香，保登心爱，桐间纱路，胡桃，安丽埃塔，露易丝，蒙莫朗西，谢斯塔，丘鲁克，塔巴萨，小鸟游六花，丹生谷森夏，凸守早苗，七宫智音	贞德，查理曼，玛丽，玛尔达，迪昂，拿破仑，阿斯托尔福，吉尔德雷，布拉达曼特，哈维，桑松，米娅，科黛，大仲马，黎塞留，路德维希，锦木千束，井之上泷奈，香风智乃，樱之宫莓香，保登心爱，桐间纱路，胡桃，安丽埃塔，露易丝，蒙莫朗西，谢斯塔，丘鲁克，塔巴萨，小鸟游六花，丹生谷森夏，凸守早苗，七宫智音		tot_Mhs_Satone_trait	
木之本樱，大道寺知世，李小狼，伊莉雅，菲特，美游，小可，李莓铃，月城雪兔，木之本桃矢	木之本樱，大道寺知世，李小狼，伊莉雅，菲特，美游，小可，李莓铃，月城雪兔，木之本桃矢			
尼禄，达芬奇，伊利亚，凯撒，安丘比，佩帕罗妮，卡尔帕乔，杰克，宫水三叶，奥寺美纪，名取早耶香，伊原摩耶花，千反田爱瑠	尼禄，达芬奇，伊利亚，凯撒，安丘比，佩帕罗妮，卡尔帕乔，杰克，宫水三叶，奥寺美纪，名取早耶香，伊原摩耶花，千反田爱瑠			
鸢一折纸，本条二亚，时崎狂三，四糸乃，五河琴里，星宫六喰，七罪，八舞耶俱矢，八舞夕弦，诱宵美九，夜刀神十香，村雨令音，神无月恭平，维斯考特	鸢一折纸，本条二亚，时崎狂三，四糸乃，五河琴里，星宫六喰，七罪，八舞耶俱矢，八舞夕弦，诱宵美九，夜刀神十香，村雨令音，神无月恭平，维斯考特			
肯尼斯，言峰绮礼，远坂时臣，远坂凛	肯尼斯，言峰绮礼，远坂时臣，远坂凛			
露维亚	露维亚			
梅林，贝狄威尔，阿尔托莉雅，莫德雷德	梅林，贝狄威尔，阿尔托莉雅，莫德雷德			
伊蕾娜，芙莉莲，赫萝，劳伦斯	伊蕾娜，芙莉莲，赫萝，劳伦斯			
高松灯，千早爱音，长崎素世，椎名立希，要乐奈，丰川祥子，三角初华，若叶睦，祐天寺若麦，八幡海铃	高松灯，千早爱音，长崎素世，椎名立希，要乐奈，丰川祥子，三角初华，若叶睦，祐天寺若麦，八幡海铃		tot_Bang_Umiri_trait	
明月栞那，汐山凉音，绫地宁宁，假屋和奏，四季夏目	明月栞那，汐山凉音，绫地宁宁，假屋和奏，四季夏目		tot_Natsume_Anan_trait|tot_Yuzu_Natsume_trait	|
香风智乃，樱之宫莓香，保登心爱，桐间纱路，黄图爱丽丝，大宫忍，九条可怜，小路绫，猪熊阳子，松原穗乃花，凉风青叶，平泽唯，秋山澪，田井中律，琴吹䌷，中野梓	香风智乃，樱之宫莓香，保登心爱，桐间纱路，黄图爱丽丝，大宫忍，九条可怜，小路绫，猪熊阳子，松原穗乃花，凉风青叶，平泽唯，秋山澪，田井中律，琴吹䌷，中野梓		tot_Kon_Azusa_trait	中野梓
平泽唯，秋山澪，田井中律，琴吹䌷，中野梓	平泽唯，秋山澪，田井中律，琴吹䌷，中野梓		tot_Kon_Azusa_trait	中野梓
拉姆，蕾姆，托尔，小林，康娜，艾露玛	拉姆，蕾姆，托尔，小林，康娜，艾露玛			
黄图爱丽丝，大宫忍，九条可怜，小路绫，松原穗乃花，凉风青叶	黄图爱丽丝，大宫忍，九条可怜，小路绫，松原穗乃花，凉风青叶		tot_Bang_Moca_trait|tot_Suzukaze_Aoba_trait	|
ba爱丽丝	ba爱丽丝		tot_Alice_Zuberg_trait|tot_Kinmosa_Alice_trait	|
丘比	丘比		tot_Mhs_QB_trait	
鹿目圆，晓美焰，巴麻美，佐仓杏子，美树沙耶香，鹿目圆，圆神	鹿目圆，晓美焰，巴麻美，佐仓杏子，美树沙耶香，鹿目圆，圆神			
高町奈叶，八神疾风，立花响，风鸣翼，雪音克莉丝	高町奈叶，八神疾风，立花响，风鸣翼，雪音克莉丝		tot_Mhs_Chris_trait	
圆神	圆神			
八云紫，博丽灵梦，上白泽慧音，伊吹萃香，依神女苑，射命丸文，河城荷取，秋穰子	八云紫，博丽灵梦，上白泽慧音，伊吹萃香，依神女苑，射命丸文，河城荷取，秋穰子			
吉尔德雷，肯尼斯，梅林，远坂时臣，远坂凛，四糸乃，星宫六喰，伊蕾娜，芙莉莲，木之本樱，李小狼，伊莉雅，美游，秋穰子，绫地宁宁，康娜，高町奈叶，雪音克莉丝，安丽埃塔	吉尔德雷，肯尼斯，梅林，远坂时臣，远坂凛，四糸乃，星宫六喰，伊蕾娜，芙莉莲，木之本樱，李小狼，伊莉雅，美游，秋穰子，绫地宁宁，康娜，高町奈叶，雪音克莉丝，安丽埃塔			
露易丝，蒙莫朗西，丘鲁克，塔巴萨	露易丝，蒙莫朗西，丘鲁克，塔巴萨			
